Decision	SAT	ACT	Subject_tests	GPA	Rank	Gender	Ethnicity	Income_Bracket	School_Type
Decision: Accepted	SAT I (breakdown): Didn’t Send	ACT (breakdown): 36	SAT II: 790 Math 2, 740 Chem, 710 Physics (lol)	GPA (out of 4.0): School doesn’t provide, but I calculated 3.8	Not Top 10%	Female	White (Jewish)	Income Bracket: Maybe 150,000?	Public, very competitive
Decision: Accepted	SAT I (breakdown): 1580, 6/6/6, 1 try	ACT (breakdown): N/A	SAT II: Bio M, Chem, Math 2 (all 800)	GPA (out of 4.0): 4.0	Top 10%	M	White	Income Bracket: 100-150K	Large public, small program nestled on a huge campus.
Decision: Deferred		ACT (breakdown): 35 C (36 E, 35 R, 34 S, 33 M	SAT II: 800 (US History), 750 (Math II)	GPA (out of 4.0): 4.0	Top 10%	Female	White	Income Bracket: Middle class	Public
Decision: Deferred [/color][/size][/b]	SAT I (breakdown): 1550, 770 English and 780 Math		SAT II: 790 History, 740 Literature	GPA (out of 4.0): 4.0	Top 10%		White	Income Bracket: $200,000	Public, 600 students
Decision: Accepted [/color][/size]	SAT I (breakdown): 790 math, 730 reading (writing I don't know on hand); 1520	ACT (breakdown): none	SAT II: 790 Math 2, 730 U.S. History	GPA (out of 4.0): 4.0	Top 10%	F	Asian	Income Bracket: >200k	large public
Decision: Rejected	SAT I (breakdown): N/A	ACT (breakdown): 34C (34E, 29M, 36R, 36S)		GPA (out of 4.0): 3.87	Top 10%	Male	White	Income Bracket: Upper middle class	Private
Decision: Deferred	SAT I (breakdown): 770R 700M, 6/6/6W	ACT (breakdown):	SAT II:Math 2(680) Bio(680)	GPA (out of 4.0): 4	Top 10%	F	White	Income Bracket: ~60k	Public Vocational (Commercial Arts is my program)
Decision: Rejected	SAT I (breakdown): 1590 (first try)	ACT (breakdown): 35 - first try (36E, 34M, 36R, 34S)	SAT II: 800 (Math II), 750 (Chem), 740 (Bio), 740 (Spanish), 730 (Lit)	GPA (out of 4.0): 3.7	Not Top 10%	female	Asian (Indian)	Income Bracket: 200k+	Large competitive public
Decision: Deferred	SAT I: 670R, 800M 7/7/7 essay		SAT II: 700 (math II)						
Decision: Rejected	SAT1: 1530			GPA: Not used in my school					
Decision: Accepted	SAT I (breakdown): N/A	ACT (breakdown): 34 C	SAT II: 800 M2 770 Bio-M	GPA (out of 4.0): 4.0	Top 10%	M	--	Income Bracket: --	Public
Decision: Deferred	SAT I (breakdown): N/A	ACT (breakdown): 34 (33E, 35M, 35R, 32S)	SAT II: 770 Physics, 760 Chemistry, 760 Math II	GPA (out of 4.0): 3.83	N/A	Male	White	Income Bracket: Upper-Middle	Public
Decision: Accepted	SAT I (breakdown): 1430 (740 Critical Reading / 690 Math)		SAT II: 800 US History, 760 Literature	GPA (out of 4.0): 3.81	Top 10%	Male.	White, African-American, and Hispanic (mixed)	Income Bracket: 100,000-120,000, upper middle class	Public charter high school
Decision: Accepted [/size]	SAT I (breakdown): Didn't take	ACT (breakdown): 35 C	SAT II: 780 Bio E, 720 Lit	GPA (out of 4.0): 4.0	Top 10%	Male	White		Public
Decision: Deferred [/color]	SAT I (breakdown): 740 M 720 R	ACT (breakdown): 34 (35 E 35 R 34 M 34 S)	SAT II: 780 US History 700 Math II	GPA (out of 4.0): 3.924	n/a	Male	White	Income Bracket: Upper middle class	Large public
Decision: Accepted	SAT I : 1550 (790M, 760V)		SAT II: 710 US History; 800 Math II	GPA (out of 4.0): 3.93	Top 10%	Male	White	Income Bracket: Upper	Private school, 110 kids
Decision: Deferred	SAT I (breakdown): Didn't send	ACT (breakdown): 34 (35 English, 34 Reading, 34 Math, 33 Science)	SAT II: Physics=750, Math II=760	GPA (out of 4.0): 4.0	Top 10%	F	Chinese	Income Bracket: 150k	Public
Decision: Rejected	SAT I (breakdown): 1570 (800 Math / 770 English)	ACT (breakdown): didn’t take	SAT II: 800 Math II, 800 Chemistry	GPA (out of 4.0): 4.0	Top 10%	female	Persian	Income Bracket: 160,000 ish idk exactly	public
Decision: Rejected	SAT I (breakdown): 1580 (790 Math, 790 verbal, 22 essay)		SAT II: Biology 800, Math II 800, Chemistry 740	GPA (out of 4.0): 3.98	Top 10%	Male	Indian	Income Bracket: < $25,000	Charter
Decision: Rejected	SAT I (breakdown): 1530 (760 reading & writing; 770 math)	ACT (breakdown): didn't take	SAT II: 800 Math 2; 710 Spanish (retaking it)	GPA (out of 4.0): 3.97	none	Male	It doesn't get whiter than this folks	Income Bracket: $120k	Public
Decision: Rejected[/color][/size][/b]	SAT I (breakdown): 1560: 770 Reading, 790 Math	ACT (breakdown): 36: 36 Math, 36 Science, 34 Reading, 36 English	SAT II: 770 Math II, 750 Physics, 750 Biology	GPA (out of 4.0): 3.68	School doesn't rank (or offer AP Classes)	Male	Black	Income Bracket:160,000-200,000	Small, Private, Catholic
Decision: Rejected	SAT I (breakdown): 1520 (770M/750E)	ACT (breakdown): Did not report	SAT II: 780 Molecular Biology	GPA (out of 4.0):	11%	F	White (Middle Eastern)	Income Bracket: >150,000	I go to two schools, a Public school, and a magnet science-research school. I alternate where I attend every day.
Decision: Rejected	SAT I (breakdown): 1520 (780 M) (740 R/W) (Essay: 23/24)	ACT (breakdown): didn't take	SAT II: 770 US History, 690 Literature	GPA (out of 4.0): 3.98	school doesn't rank	Female	Asian (Indian)	Income Bracket: more than 200k	HUGE public (3000+ kids)
Decision: Accepted[/color]	SAT I (breakdown): Didn't submit	ACT (breakdown): 35 (36E 36R 34S 33M)	SAT II: Math 1(790)	GPA (out of 4.0): 4.0	Top 10%	Male	African American	Income Bracket: Prefer not to say	Public
Decision: Rejected	SAT I (breakdown): 1470	ACT (breakdown): Didn't take	SAT II: Math 2 - 800 ; Literature - 780 ; Spanish (Without Listening) - 660	GPA (out of 4.0): 4.0	Top 10%	Female	White	Income Bracket: <$50,000	Public
Decision: Rejected	SAT I (breakdown): 1510 (780 Math & 730 English): did not submit	ACT (breakdown): 35 (all sections)	SAT II: 780 Biology	GPA (out of 4.0): 3.96	Top 10%	Male	Indian	Income Bracket: <100k	Public
Decision: Rejected	SAT I (breakdown): 1490 (710 English, 780 Math)	ACT (breakdown): N/A	SAT II: 800 Math 2, 740 Physics	GPA (out of 4.0): 3.7 (My school has a deflated GPA system rip)	N/A	Male	Asian	Income Bracket: N/A	International School
Decision: Deferred	SAT I (breakdown): N/A	ACT (breakdown): Composite 30		GPA (out of 4.0): 3.95	Top 10%	Female	White	Income Bracket: ~25,000	Public
Decision: Rejected	SAT I (breakdown): None	ACT (breakdown): Composite 31, Eng 35, Math 35 Read 25 Sci 34	SAT II: Bio M 760, Math1 780	GPA (out of 4.0): 3.85	Top 10%	Male	Latino		Private
Decision: Deferred	SAT I (breakdown): 1410 (Math 740, ER 670	ACT (breakdown): 31 (English 32, Math 31, Reading 32, Science 32)	SAT II: Chemistry 770	GPA (out of 4.0): 4.0	Top 10%	Male	White	Income Bracket: 60,000 - 80,000	Public
Decision: Rejected		ACT (breakdown)- 33 (36 E 29 M 36 R 29 M)		GPA (out of 4.0): 3.997	Top 10%		Ethnicity- White	Income Bracket- > $100k	School Type- Public
Decision: Accepted	SAT I (breakdown): n/a	ACT (breakdown): 34		GPA (out of 4.0): 3.98 (one B+ in calc 2)	Top 10%	female	white	Income Bracket: <20,000	public inner-city, title I
Decision: Rejected	SAT I: 1510 (800/710) (Didn't Submit)	ACT: 36 (36/36/35/36)	SAT II: Math II 800, Chemistry 800	GPA (out of 4.0): 3.9	10%	Male	White	Income Bracket: 250,000	Public
Decision: Rejected	SAT I (breakdown): 700 Reading/Writing, 780 Math	ACT (breakdown): Didn't take.	SAT II: 760 Bio, 800 Math II	GPA (out of 4.0): IDK, maybe around a 3.7	Top 10%	Female	African/Black	Income Bracket: 200k+	Public, Rural
Decision: Rejected	SAT I (breakdown):1370 (600r/770m)	ACT (breakdown):30 (34m/30s/28r/27e)	SAT II: did not take	GPA (out of 4.0): 4.0	Top 10%	Male	Indian	Income Bracket: 300k+	Public, suburban, new, competitive and "high tech"
Decision: Accepted		ACT (breakdown): 35 C (36 E, 35 R, 34 S, 33 M)	SAT II: 800 (US History), 750 (Math II)	GPA (out of 4.0): 4.0	Top 10%	Female	White	Income Bracket: Middle class	Public (I was the only person accepted into Yale, Brown and Penn this year. I was the second admit ever to Yale, and maybe to Brown as well. We also had our first admit to Harvard yesterday & a handful of acceptances from Cornell)
Decision: AcceptedObjective:	SAT I (breakdown): N/A	ACT (breakdown): 35 (36E 35M 34R 36S)	SAT II: 770 Math II, 750 Math I, 720 Chem	GPA (out of 4.0): 3.9	Top 10%	Female	White (Middle Eastern)	Income Bracket: <10,000$ (LOL)	NODET
Decision: Accepted	SAT I: 760R 800M 22E		SAT II: 800 Math II, 780 Chemistry, 780 Latin	GPA (out of 4.0): 4.0	Top 10%		sorta complicated but basically half ashkenazi jew, half caribbean black	Income Bracket: 200kish	private academic, full of high-achievers -- probably the best in my country
Decision: Accepted	SAT I (breakdown): 1530; Math: 800, Verbal: 730, 17 Essay	ACT (breakdown): Didn't take	SAT II: Math Level 2: 700, World History: 630	GPA (out of 4.0): 3.92	2	Male	Black	Income Bracket: 60-70K	Magnet
Decision: Accepted	SAT I (breakdown): 790 Math, 750 English, 19/24 Essay	ACT (breakdown): 35 English, 35 Math, 35 Reading, 34 Science	SAT II: 780 US History, 790 Math II, 800 Bio	GPA (out of 4.0): 3.9	Top 10%	Male	Asian	Income Bracket: 250k+	Public
Decision Rejected	SAT I (breakdown): First time 1380 Second time 1420 Third time 1500 (no super score)	ACT (breakdown): First time 25 Second time 29 Third time 32 (didn't submit) lol took the sat and act three time in a row within 3 month	SAT II: Chinese 800 Math II 750	GPA (out of 4.0): 3.55	Not Top 10%	Male	Asian Chinese ( I'm proud of my race)	Income Bracket: 20k Low income	Public
Decision: Accepted	SAT I (breakdown): 1540 one sitting	ACT (breakdown): N/A	SAT II: 750+ on Math & Bio	GPA (out of 4.0): 3.9	Top 10%	female	asian	Income Bracket: upper middle class	public
Decision: Accepted ED1 Objective:	SAT I (breakdown): N/A	ACT (breakdown):		GPA (out of 4.0):	N/A			Income Bracket(mention if FA candidate): N/A	
Decision: Deferred EA Objective:	SAT I (breakdown): NA	ACT (breakdown): 34C (34E, 35M, 35R, 32S)	SAT II: Math 2 - 800	GPA (out of 4.0): 3.95UW	NA	Male	White	Income Bracket(mention if FA candidate): 140k	Good public
Decision: Accepted Objective:	SAT I (breakdown): 770M 760R (1530)	ACT (breakdown): 36R 36S 35E 34M (35)	SAT II: 780 Math II, 780 Chemistry	GPA (out of 4.0): 3.9ish (My school doesn't tell us)	Top 10%	Male	Hispanic	Income Bracket:$50,000-$70,000	Public
Decision: ED1 Rejected Objective:	SAT I (breakdown): N/A	ACT (breakdown): 35C (English 35, Math 36, Science 34, Reading 34)	SAT II: Math II 800, Chemistry 760	GPA (out of 4.0): 3.75	N/A	Male	Asian	Income Bracket(mention if FA candidate): $0. We are living off my brother (serviceman in the US Army) bonus which is $24,000, but will decrease to $15,000 next year when he is stationed in the states.	Public High School (New Trier High School)
Decision: Deferred EA [/b][/color][/size]	SAT I (breakdown): N/A	ACT (breakdown): 35 (35 English, 34 Math, 36 Reading, 36 Science)	SAT II: 780 US 760 M2 750 World	GPA (out of 4.0): 4.0	N/A	Male	Caucasian	Income Bracket(mention if FA candidate): Upper middle class (75k-110k bracket)	Private preparatory
Decision: Accepted ED1 Objective:	SAT I (breakdown): 1540 composite (770/770, 7/8/7 essay)	ACT (breakdown): N/A		GPA (out of 4.0): 3.97	N/A			Income Bracket(mention if FA candidate):	
Decision: Accepted [/color][/size]	SAT I (breakdown): 1520	ACT (breakdown):N/A		GPA (out of 4.0):N/A	N/A	Male	White	Income Bracket(mention if FA candidate): no clue	Private
Decision: Rejected EA ][/Red	SAT I (breakdown):Test Optional	ACT (breakdown): Test Optional		GPA (out of 4.0):3.72	Top 10%	Male	African American (Nigerian)	Income Bracket(mention if FA candidate):73,000 for my dad working 2 jobs	Public Charter
Decision: Accepted EA	SAT I (breakdown): 1570 (800 M, 770 R/W)	ACT (breakdown): Didn’t take	SAT II: 800 Math II, 800 Chem, 790 BioM	GPA (out of 4.0): 3.98	My school does not rank	Male	African American	Income Bracket: < 40000	Specialized High School (Large Public)
Decision : Accepted	SAT I (breakdown): 1520 730 CR, 790 M	ACT (breakdown): 34 C , 35 W, 32 M, 33, S, 34 R	SAT II: didn’t take , didn’t need them	GPA (out of 4.0): 3.7	our school doesn’t rank	Female	hispanic	Income Bracket(mention if FA candidate): middle	decent public
Decision: Accepted ED1	SAT I: 1530, 800 M, 730 R/W	ACT: 34		GPA (out of 4.0): 4.0	Top 10%	Female	White		Public - 4000 students
Decision: Deferred	SAT I (breakdown): 1480	ACT (breakdown): Did Not Take		GPA (out of 4.0): 4.00	Top 10%	Female	White	Income Bracket: <$100,000	Public
Decision: Deferred EA Formatting PSA: put [ list] before each set of [ *] to get bulletsObjective:	SAT I (breakdown): 1600 (800 reading, 800 math, 6/6/6 essay)	ACT (breakdown): N/A	SAT II: 800 in Math II, 800 in Physics	GPA (out of 4.0): 4.0	N/A	female	Asian	Income Bracket (mention if FA candidate): >$200,000	selective public magnet, class size <100
Accepted	SAT I (breakdown): N/A	ACT (breakdown): 34	SAT II: 700 Biology E 720 Literature	GPA (out of 4.0): 3.91	Top 10%	Female	Black	Income Bracket(mention if FA candidate): Greater than 400k	Public
Decision: Waitlisted	SAT I: N/A	ACT: 30	SAT II: 710 Bio 710 US 610	GPA:3.81					
Decision: Waitlisted/b/color/size		ACT (breakdown): 34 Superscore		GPA (out of 4.0): 3.62	Not Top 10%	F	Asian	Income Bracket: ~130k	Public, competitive
Decision: Waitlisted	SAT I (Comp, Essay, CR, M, CW): n/a	ACT (Comp, Essay, Eng, Math, Read, Sci): 31: 35E, 34R, 29M, 25S	SAT II (Type, Score): n/a	GPA (out of ??): n/a	Top 10%	Male	African American	Income Bracket: less than 20k annually	Extremely low ranked Public
Decision: Accepted Objective:	SAT I (Comp, Essay, CR, M, CW): 1520 (17, 760, 760)	ACT (Comp, Essay, Eng, Math, Read, Sci): n/a	SAT II (Type, Score): 670 math II, 670 literature (didn't submit)	GPA (out of ??): 3.6	n/a	Female	African American	Income Bracket: middle class	Public
Decision: Rejected	SAT: 1590 (800M, 790V, 20 Essay)	ACT: didn't take	SAT II: 800 Math II, 800 Chem, 800 Spanish (Reading only)	GPA: 4.0	school doesn't rank	F	Asian	Income Bracket: ~$120k	Small public
Decision: Accepted	SAT I (breakdown): N/A	ACT (breakdown): 33 SS	SAT II: 730 USH 670 Lit	GPA (out of 4.0): 4.0	Top 10%	M	Black	Income Bracket: 60,000	Public
Decision: Waitlisted/b/color/size	SAT I (breakdown): N/A	ACT (breakdown): 34 C	SAT II: 800 M2 770 Bio-M	GPA (out of 4.0): 4.33	Top 10%	M	--	Income Bracket: --	Public
Decision: Waitlisted	SAT I (breakdown): N/A	ACT (breakdown): 34 C	SAT II: 800 M2 770 Bio-M	GPA (out of 4.0): 4.33	Top 10%	M	--	Income Bracket: --	Public
Decision: Waitlisted Objective:		ACT: (35,36, 35, 35, 34)	SAT II (Superscore): (1540, 21, 740, 800)	GPA:3.81	Top 10%	Female	Indian	Income Bracket: 200K +	Competitive Public
Decision: Deferred EA then Accepted	SAT I (breakdown): 1530 (760 Reading, 770 Math); Essay 8/8/7	ACT (breakdown): 36 (36E, 36M, 35R, 36S)	SAT II: 800 Molecular Biology, 760 Math II	GPA (out of 4.0): 4.00	Top 10%	Female	White		Private Parochial
Decision: Accepted[/b][/color][/size]	SAT I (Comp, Essay, CR, M, CW): didn't take it	ACT (Comp, Essay, Eng, Math, Read, Sci): 31 comp (34E, 25M, 35R, 28S)	SAT II (Type, Score): don't remember my scores to well but I didn't do too hot on Latin, and did pretty well on Literature and US History	GPA: 3.795	school does not rank	female	black	Income Bracket: not sure exactly but my family is well off	private catholic school
Decision: WaitlistedObjective:	SAT I (Comp, Essay, CR, M, CW): 1540, 21(? I don't remember), 780, 760	ACT (Comp, Essay, Eng, Math, Read, Sci): 35, 34, 35, 36, 33	SAT II: Math IIC 800, Korean 790, USH 730	GPA (out of 4.0): 4.0	Top 10%	F	Asian		Public
Decision: Waitlisted	SAT I (Comp, Essay, CR, M, CW): Didn't take	ACT (Comp, Essay, Eng, Math, Read, Sci): 33 (E:35, R: 35, M:30, S: 30)	SAT II (Type, Score): Didn't take	GPA (out of ??): 4.0	Not Top 10%	F	White	Income Bracket: didn't apply for FA	Private (competitive)
Decision: Waitlisted	SAT I (Comp, Essay, CR, M, CW): 1530 Superscore	ACT (Comp, Essay, Eng, Math, Read, Sci): 31 (Don't think I sent it though)	SAT II (Type, Score):Didn't send	GPA (out of ??): 4.0	Top 10%	Female	White		Public, somewhat rural
Decision: Waitlisted	SAT I (Comp, Essay, CR, M, CW): NA	ACT (Comp, Essay, Eng, Math, Read, Sci): 32, 33, 31, 36, 29	SAT II (Type, Score): NA	GPA (out of ??):	Top 10%	Male	White	Income Bracket: Middle Income	Public
Decision: AcceptedObjective:	SAT I (Comp, Essay, CR, M, CW): 1540 overall, 800 Reading, 770 Math, 680 Writing	ACT (Comp, Essay, Eng, Math, Read, Sci): N/A	SAT II (Type, Score): 1570 overall, 800 Reading and 770 Math	GPA: 4.0	1	Female	Asian and white	Income Bracket: Upper-middle class, applied and received financial aid (brother in college)	Public (w/ IB)
Decision: Rejected - Wharton[ /color]	SAT I (breakdown M/CR/W/Essay): 1520 (790 Math, 730 English, 16/24 Essay)	ACT (breakdown): NA	SAT II (subject, score): Math II: 800, Literature: 640	GPA: NA (School doesn't use GPA)	NA (School doesn't use rank)	Male	Indian	Income Bracket Range: Around $200,000	Private, Boarding, All Boys
Decision: Rejected - Wharton[ /color]	SAT I (breakdown M/CR/W/Essay): 1560 (790 M, 770 R, 24 Essay)	ACT (breakdown): None	SAT II (subject, score): 800 on Math II, Chemistry, World History	GPA: 3.99	Not Top 10%	Male	Asian	Income Bracket Range: 200k+	large public
Decision: Accepted - CAS[ /color]	SAT I (breakdown M/CR/W/Essay): NA	ACT (breakdown): 34	SAT II (subject, score): Spanish 800, us history 710	GPA: 3.85	Top 10%	F	Hispanic	Income Bracket Range: ~125k	parochial
Decision: Deferred - Wharton[ /color]	SAT I (breakdown M/CR/W/Essay): submitted both 1530 (790 math, 740 English, 20/24 essay) and 1570 (800 math, 770 English, no essay)	ACT (breakdown): n/a	SAT II (subject, score): math I 760 and 780, math II 800, biology e 800	GPA: 4.0	school doesn't rank	female	white	Income Bracket Range: middle class	public
Decision: Accepted - CAS[ /color]	SAT I (breakdown M/CR/W/Essay): 710 on Math and CR 19/24 Essay	ACT (breakdown): 31	SAT II (subject, score): 770 US History 740 Chemistry	GPA: 4.0	Top 10%	male	white	Income Bracket Range: upper middle class	Public School (low income school)
Decision: Deferred - Wharton[ /color]	SAT I: 1520 (790M, 730R)	ACT: 35 (35G, 35R, 35S, 33M)	SAT II: 770 physics, 800 math II	GPA: Unweighted - 3.94	nope we don't do that	Female	Chinese	Income Bracket Range: 250k I think	large public like 2500 kids
Decision: Deferred - CAS[ /color]	SAT I (breakdown M/CR/W/Essay): 750/760/21		SAT II (subject, score): 770 Math II, 730 Literature	GPA: 4.0	Top 10%	F	White	Income Bracket Range: 80k	Large (Low Income) Urban Public
Decision: Deferred - Wharton[ /color]		ACT (breakdown): 35 (36/36/35/33)	SAT II (subject, score): Math II (800)	GPA: 4.00 UW	Top 10%	Female	Asian	Income Bracket Range: $120,000	Public
Decision: Accepted - CAS	SAT I (breakdown M/CR/W/Essay): 800/750/22	ACT (breakdown): 36M, 36E, 34R, 33S	SAT II (subject, score): Math II: 800, Physics 760	GPA: 3.75	Top 10%	Female	White	Income Bracket Range: Doesn’t qualify for FA	Public, around 300 kids in grade
Decision: Rejected - Wharton[ /color]	SAT I (breakdown M/CR/W/Essay):1440 (660 Reading, 780 math)	ACT (breakdown):N/A	SAT II (subject, score):760 on Chemistry, 750 on Physics, 750 on math1, 740 on math2	GPA:3.775	Top 5%	Female	Asian	Income Bracket Range:>300,000	Public(Top three school in my city)
Decision: Rejected - Huntsman (Chinese)/Wharton	SAT I (breakdown M/CR/W/Essay): 1540 - 790 M, 750 W+R, 20 Essay	ACT (breakdown): 35 - 36M, 35R, 35 W, 33 S	SAT II (subject, score): 800 Math 2, 800 Chinese, did not submit a 660 in US History	GPA: 4	Top 10%	Male	Asian (Chinese)	Income Bracket Range: 100k+	Public, 2000+ students
Decision: Rejected - M&TDecision: Deferred - Engineering (applied second-choice as RD)ObjectiveSAT I (M/CR+W): 1560 (790/770)SAT I superscore (M/CR+W): 1570 (800/770)SAT II: Math II (800), Chemistry (790)Unweighted GPA: 3.95Rank: top 10% probably, school doesn't rankAP: Calculus BC (5), Statistics (5), Physics C: Mechanics (5), Physics C: E&M (5), Chemistry (5), Biology (5), Psych (5), English Lang (5), US History (4), World History (4)Senior Year Course Load: DE Linear Algebra/Differential Equations, DE International Business, AP CompSci Principles, AP Micro/Macro, PLTW Principles of Engineering, Business Internship, Creative ExpressionsNumber of other ED applicants in your school: 6-10Major Awards: none ripCommon Awards: NMSF, National AP Scholar, state-level public speakingSubjectiveExtracurriculars: few school-level clubs where I held tons of leadership... really could have worked harder to stand out here. I'm really passionate about everything I do, but I spread myself too thin and didn't do anything notably impressive.Job/Work Experience: intern for consulting firm, worked with cool companies but didn't do anything too specialVolunteer/Community Service: mentored middle schoolers in public speaking, related to my overcoming of social anxietySummer Experience: see above Job/Work ExperienceTeacher/Counselor Recommendations: 8-9/10, didn't get to see them but I'm really close with all of themInterview: 10/10, really connected with him and he really liked my overall "story", but this plays almost null role soWritingCommonApp Essay: 8/10 - overcoming social anxietyWhy Penn: 10/10 - hands down, best essay... I did focus on both SEAS and Wharton though, I know the prompt said only your second choice (SEAS for me)Disruptive Technology: 7/10 - BMIs, really passionate about this though it came off more academic than I'd have likedCreativity & Leadership: 6/10 - changed at last minute ripOtherDate Submitted App: 11/01, ifykykApplied for Financial Aid? NoU.S. State/Territory or Country: Midwest, not PASchool Type: Public, more competitive than most but not crazyEthnicity: Asian ripGender: MaleIncome Bracket Range: $200k+Hooks: N/AReflectionStrengths: scores, internship, relationships (recs/interview)Weaknesses: not doing anything substantial in high school Where else were you accepted/deferred/rejected: nothing noteworthy yet, expecting Michigan result on 19thWhat would you have done differently?: cured cancer. jk, but still I would have focused my efforts on a specific thing - enacting a quantifiable change (founding a nonprofit and raising $20k+), creating a profitable business, winning a major competition (Olympiad, Intel)	SAT I (M/CR+W): 1560		SAT II: Math II (800), Chemistry (790)	GPA: 3.95	Top 10%	Male	Asian	Income Bracket Range: $200k	Public
Decision: Rejected - Huntsman	SAT I (breakdown M/CR/W/Essay): 1420 in one sitting- 760/740CR & 640/680M	ACT (breakdown):30- 29M, 33R, 31W, 27S	SAT II (subject, score):taken, but not in time for app	GPA:I'm not sure? 4.0 UW I think? I've switched schools a lot, so I'm not up to date on all my stats	Top 10%	female	white	Income Bracket Range:can't say exactly	Now public, last year German, before that very small private
Decision: Rejected - M&T[ /color]	SAT I (breakdown M/CR/W/Essay): 800/730/18	ACT (breakdown):	SAT II (subject, score): 790 French 740 Math 2 710 Chem	GPA: 4.0	Top 10%	M	Bengali	Income Bracket Range: 150k	canadian CEGEP
Decision: Accepted - CAS[ /color]	SAT I (breakdown M/CR/W/Essay): N/A	ACT (breakdown): 33 (R: 36, M: 31, E: 32, S: 31)	SAT II (subject, score): did not take-ik oof	GPA: school does not have gpa but I when I applied for some scholarships I had to calculate it and it was a 3.92	School does not rank	Female	White/Jewish	Income Bracket Range: over 500,000	Private
Decision: Deferred - Wharton	SAT I (breakdown M/CR/W/Essay): 1560 -- 790/770	ACT (breakdown): 34 single sitting composite	SAT II (subject, score): 800s on math 2 and physics	GPA: 4.00	N/a	Male	White jew	Income Bracket Range: middle class suburbia	Public and good, but not one of those whack schools. ACT avg is like 24 for reference
Decision: Rejected - Wharton	SAT I (breakdown M/CR/W/Essay): 1590: 800 M / 790CR (one sitting)	ACT (breakdown):	SAT II (subject, score): Math Level II 800.	GPA: 3.7	Top 10%	Male	Caucasian	Income Bracket Range: Too much to qualify for financial aid	Public HS
Decision: Accepted - Nursing[ /color]	SAT I (breakdown M/CR/W/Essay): N/A	ACT (breakdown): 33 (35 English, 32 Math, 32 Reading, 32 Science)	SAT II (subject, score): N/A	GPA: 3.84 UW	N/A	Female	White	Income Bracket Range: ~180k	Public 2000+ students
Decision: Rejected - Wharton[ /color]	SAT I: 1570 (800M 770R) Only sitting	ACT (breakdown): 36C (36E 36M 35R 36S)	SAT II (subject, score): 800-Math Level II, 750 US History, 740 Literature	GPA: 4.0	Top 10%	Male	White	Income Bracket Range: 100k+	Public
Decision: Rejected - SEAS	SAT I (breakdown M/CR/W/Essay): 1470 740M/730R	ACT (breakdown): n/a	SAT II (subject, score): didn't submit	GPA: 3.97	Top 10%	male	white	Income Bracket Range: 200k+	public
Decision: Rejected - SEAS[ /color]	SAT I superscore (breakdown M/CR/W/Essay): 1530 (730CR, 800M)		SAT II (subject, score): 780 Math II, 730 Chemistry	GPA: 4.0	Top 5%	Male	White	Income Bracket Range: Less than 100,000	Public
Decision: Rejected - SEAS[ /color]	SAT I (breakdown M/CR/W/Essay): 790/760/21	ACT (breakdown):	SAT II (subject, score):800 Math II, 800 Chem	GPA: 3.7	N/A	Male	Asian	Income Bracket Range:70 000 k	Public
Decision: Rejected - Wharton (RED)	SAT I (breakdown M/CR/W/Essay): 1280; 650/630 20/24 Essay	ACT (breakdown): N/A	SAT II (subject, score): N/A	GPA: 3.89	Does not report	Male	Half Pacific Islander, Half White	Income Bracket Range: 160K+	Private Catholic School
Decision: Rejected - CAS	SAT I (breakdown M/CR/W/Essay): N/A	ACT (breakdown): 35C (36E, 34M, 35R, 34S)	SAT II (subject, score): Spanish w/ Listening (800), Literature (710)	GPA: 3.77	Top 10%	M	Hispanic	Income Bracket Range: Pell-grant	Mid/large public
Decision: Accepted - CAS[ /color]	SAT I (breakdown M/CR/W/Essay): N/A	ACT : 33C	SAT II (subject, score): Biology 710, Literature 650	GPA: 3.97	N/A	F	Asian	Income Bracket Range: rather not say	Private all girls, small
Decision: Rejected - CAS	SAT I (breakdown M/CR/W/Essay): 1560; 800/760; 20/24	ACT (breakdown): 36; 36,36,35,35	SAT II (subject, score): Math II - 800; Chem - 770; Bio E - 760	GPA: 3.98	Top 10%	Female	Asian	Income Bracket Range: 200k+	Public
Decision: Accepted - Nursing	SAT I (breakdown M/CR/W/Essay): 1500 - 770CR / 730M	ACT (breakdown): 34 - 36W / 35R / 35S / 29M	SAT II (subject, score): Didn't study so I did bad and didn't send	GPA: Technically my school doesn't calculate GPA but it's somewhere around 3.5	School doesn't rank	Female	Black	Income Bracket Range: 200k+	STEM Magnet Boarding School
Decision: Deferred - CAS[ /color]	SAT I (breakdown): 740 R+W 730 M 1450C	ACT (breakdown): 35E 35M 32R 28S (rip) 33C	SAT II: 740 Bio M, 730 Math II, 800 Spanish w listening	GPA (out of 4.0): 3.96	n/a	F	Hispanic/Latino, racially Chinese	Income Bracket: high	international, private, large
Decision:Accepted-CAS	SAT I (breakdown M/CR/W/Essay): 1540 (780 reading 760 math) 24 essay single-sitting	ACT (breakdown): didn't send	SAT II (subject, score): Math 2: 780 Chem: 780	GPA: 3.88	n/a	Male	Asian	Income Bracket Range: low af	Public
Decision: Rejected - Wharton[ /color]	SAT I (breakdown M/CR/W/Essay): 1550 (750 English, 800 Math)		SAT II (subject, score): 800 Math II, 700 US History, 670 World History	GPA (out of 4.0): 4.0	N/A	Male	White		Large Public School
